Alert ID,Version No.,Time Type,Image URL,Mode,Effect,Affecting,Cause,Severity,Effect Start,Effect End,Recurrence Start,Recurrence End,Recurrence Start Time,Recurrence End Time,Recurrence Days,Notification From,Notification Until,Header,Note Text,Note Last Modified,Note Last Modified By,Accessibility Information,Send via PA/ESS,PA/ESS,T-Alert Sent to Subscribers,Send to Twitter,Set as Website Banner,Website Banner Text,URL,Additional Information,Last Modified By,Last Modified Date,Closed,Reminders,PCF,Planned Disruption,Send T-Alert on close,Send T-Alert on edit,Text-To-Speech Message Text,Text-To-Speech Description Text
399571,2,One-time,,Bus,Stop Closure,,,information,2021-08-09T16:56:29.638,2021-08-10T02:25:51.440,,,,,,2021-08-09T16:56:29.657,2021-08-10T02:25:51.440,"Stop closure alert: Effective June 18, Route 64 outbound stop Cambridge St @ Mass Pike is closed due to accessiblilty concerns. Please use the following stop, Cambridge St @ Seattle St, as an alternative.",,,,,False,,False,False,False,,,"Affected routes:
64",expiry,2021-08-10T02:25:51.440,True,,past,,False,True,,
402217,1,One-time,,Bus,Stop Closure,"8, 10; Southampton St @ Atkinson St",,up to 20 minutes,2021-08-26T11:28:05.953,2021-11-01T02:30,,,,,,2021-08-26T11:28:05.957,2021-11-01T02:30,The stop at Southampton St @ Atkinson St will be permanently closed on Aug 26 due to safety concerns. Route 8 & 10 inbound passengers can board at Theo Glynn Way @ Newmarket Sq.,,,,,False,,True,False,False,,,"Affected routes:
8
10",eryk.rotondo,2021-08-26T11:28:18.680,False,,current,,False,True,,
402217,2,One-time,,Bus,Stop Closure,,,up to 20 minutes,2021-08-26T11:28:05.953,2021-11-01T02:30,,,,,,2021-08-26T11:28:05.957,2021-11-01T02:30,The stop at Southampton St @ Atkinson St will be permanently closed on Aug 26 due to safety concerns. Route 8 & 10 inbound passengers can board at Theo Glynn Way @ Newmarket Sq.,,,,,False,,False,False,False,,,"Affected routes:
8
10",expiry,2021-11-01T02:31:42.380,True,,past,,False,True,,
406983,1,One-time,,Bus,Stop Closure,87; Somerville Ave @ Merriam St,,up to 20 minutes,2021-09-22T04:30,2021-09-25T02:30,,,,,,2021-09-21T12:13:03.313,2021-09-25T02:30,"The stop at Somerville Ave @ Merriam St will be closed from Wed, Sep 22, through Fri, Sep 24, to allow for paving work on Somerville Ave. Passengers can use McGrath Hwy @ Poplar St or Somerville Ave @ Stone Ave as alternatives.",,,,,False,,True,False,False,,,"Affected routes:
87",eryk.rotondo,2021-09-21T12:13:10.273,False,,current,,False,True,,
406983,2,One-time,,Bus,Stop Closure,87; Somerville Ave @ Merriam St,,up to 20 minutes,2021-09-27T04:30,2021-09-28T02:30,,,,,,2021-09-21T12:13:03.313,2021-09-28T02:30,"The stop at Somerville Ave @ Merriam St will be closed on Monday 9/27, to allow for paving work on Somerville Ave. Passengers can use McGrath Hwy @ Poplar St or Somerville Ave @ Stone Ave as alternatives.",,,,,False,,False,False,False,,,"Affected routes:
87",nicholas.tomkavage,2021-09-23T18:53:17.490,False,,current,,False,True,,
406983,3,One-time,,Bus,Stop Closure,,,up to 20 minutes,2021-09-27T04:30,2021-09-28T02:30,,,,,,2021-09-21T12:13:03.313,2021-09-28T02:30,"The stop at Somerville Ave @ Merriam St will be closed on Monday 9/27, to allow for paving work on Somerville Ave. Passengers can use McGrath Hwy @ Poplar St or Somerville Ave @ Stone Ave as alternatives.",,,,,False,,False,False,False,,,"Affected routes:
87",expiry,2021-09-28T02:31:04.210,True,,past,,False,True,,
407463,1,One-time,,Bus,Stop Closure,51; Belgrade Ave @ Robert St (outbound),,information,2021-09-23T18:58:28.064,later today,,,,,,2021-09-23T18:58:28.067,2021-09-24T02:30,"Effective Sept 27, Route 51 stop Belgrade Ave @ Robert St (under the Commuter Rail bridge) will permanently close. Service can be had at Robert St @ Belgrade Ave.",,,,,False,,True,False,False,,,"Affected routes:
51",nicholas.tomkavage,2021-09-23T18:58:29.253,False,,current,,False,True,,
407463,2,One-time,,Bus,Stop Closure,,,information,2021-09-23T18:58:28.064,2021-09-24T02:25:32.893,,,,,,2021-09-23T18:58:28.067,2021-09-24T02:25:32.893,"Effective Sept 27, Route 51 stop Belgrade Ave @ Robert St (under the Commuter Rail bridge) will permanently close. Service can be had at Robert St @ Belgrade Ave.",,,,,False,,False,False,False,,,"Affected routes:
51",expiry,2021-09-24T02:25:32.893,True,,past,,False,True,,
408492,1,One-time,,Bus,Stop Closure,69; Cambridge St @ Springfield St,construction,up to 20 minutes,2021-10-04T04:30,2021-10-16T02:30,,,,,,2021-09-29T10:19:24.373,2021-10-16T02:30,"The stop at Cambridge St @ Springfield St will be closed from Mon, Oct 4 to Fri, Oct 15 due to road work. Riders can use Cambridge St @ Prospect St as an alternative.",,,,,False,,True,False,False,,,,eryk.rotondo,2021-09-29T10:19:33.413,False,,current,,False,True,,
408492,2,One-time,,Bus,Stop Closure,,construction,up to 20 minutes,2021-10-04T04:30,2021-10-16T02:30,,,,,,2021-09-29T10:19:24.373,2021-10-16T02:30,"The stop at Cambridge St @ Springfield St will be closed from Mon, Oct 4 to Fri, Oct 15 due to road work. Riders can use Cambridge St @ Prospect St as an alternative.",,,,,False,,False,False,False,,,,expiry,2021-10-16T02:30:17.087,True,,past,,False,True,,
